UserId,UserCity,ItemCategory,ItemName,ItemPrice,ItemQuantity,TotalPaid,PurchaseDate,DeliveryDate,ItemWeight,PromoCode_Used,DeliveryTime,Total_ItemWeight
548,San Diego,Fashion,Shoes,474,9,4266.0,2024-09-14 09:21:50.271,2024-09-20 09:21:50.271,9.0,False,6.0,81.0
907,Philadelphia,Toys,Game,385,5,1925.0,2024-09-01 09:21:50.271,2024-09-03 09:21:50.271,5.0,False,2.0,25.0
282,San Antonio,Sports,Bat,382,9,3438.0,2024-08-23 09:21:50.271,2024-08-30 09:21:50.271,4.0,False,7.0,36.0
445,Philadelphia,Electronics,Watch,628,8,5024.0,2024-09-06 09:21:50.271,2024-09-16 09:21:50.271,10.0,False,10.0,80.0
178,Philadelphia,Sports,Gym Equipment,788,5,3940.0,2024-09-10 09:21:50.271,2024-09-14 09:21:50.271,6.0,True,4.0,30.0
67,San Diego,Home Goods,Table,427,3,1281.0,2024-09-13 09:21:50.271,2024-09-22 09:21:50.271,7.0,True,9.0,21.0
69,San Diego,Electronics,Phone,862,10,8620.0,2024-08-23 09:21:50.271,2024-08-25 09:21:50.271,5.0,True,2.0,50.0
970,San Diego,Home Goods,Decor,149,3,447.0,2024-08-31 09:21:50.271,2024-09-02 09:21:50.271,5.0,True,2.0,15.0
492,San Diego,Sports,Bat,531,6,3186.0,2024-09-14 09:21:50.271,2024-09-19 09:21:50.271,5.0,False,5.0,30.0
516,Phoenix,Sports,Ball,45,6,270.0,2024-08-26 09:21:50.271,2024-08-28 09:21:50.271,10.0,False,2.0,60.0
773,Los Angeles,Home Goods,Sofa,847,7,5929.0,2024-09-02 09:21:50.271,2024-09-11 09:21:50.271,10.0,False,9.0,70.0
167,Phoenix,Electronics,Phone,213,2,426.0,2024-08-29 09:21:50.271,2024-09-06 09:21:50.271,2.0,True,8.0,4.0
924,San Antonio,Toys,Game,953,6,5718.0,2024-09-10 09:21:50.271,2024-09-14 09:21:50.271,6.0,True,,36.0
438,Philadelphia,Beauty,Haircare,490,4,1960.0,2024-09-10 09:21:50.271,2024-09-16 09:21:50.271,6.0,False,6.0,24.0
656,San Antonio,Fashion,Pants,565,1,565.0,2024-08-28 09:21:50.271,2024-09-03 09:21:50.271,9.0,False,6.0,9.0
829,Austin,Grocery,Household Supplies,684,4,2736.0,2024-08-31 09:21:50.271,2024-09-03 09:21:50.271,9.0,False,3.0,36.0
439,Austin,Home Goods,Kitchenware,576,6,3456.0,2024-09-17 09:21:50.271,2024-09-25 09:21:50.271,4.0,True,8.0,24.0
581,Dallas,Grocery,Snacks,213,5,1065.0,2024-09-13 09:21:50.271,2024-09-18 09:21:50.271,6.0,True,5.0,30.0
993,San Diego,Fashion,Dress,120,6,720.0,2024-08-28 09:21:50.271,2024-08-30 09:21:50.271,0.0,True,2.0,0.0
346,Dallas,Fashion,Hat,463,10,4630.0,2024-09-18 09:21:50.271,2024-09-22 09:21:50.271,3.0,False,4.0,30.0
129,Chicago,Sports,Bat,815,3,2445.0,2024-08-30 09:21:50.271,2024-09-07 09:21:50.271,0.0,False,8.0,0.0
740,Dallas,Electronics,Watch,175,6,1050.0,2024-08-31 09:21:50.271,2024-09-08 09:21:50.271,5.0,False,8.0,30.0
552,Phoenix,Sports,Bat,872,9,7848.0,2024-09-19 09:21:50.271,2024-09-26 09:21:50.271,5.0,False,7.0,45.0
561,Houston,Grocery,Beverages,303,2,606.0,2024-08-28 09:21:50.271,2024-09-01 09:21:50.271,9.0,True,,18.0
592,Los Angeles,Sports,Bike,363,7,2541.0,2024-09-09 09:21:50.271,2024-09-12 09:21:50.271,5.0,True,3.0,35.0
47,New York,Beauty,Makeup,470,9,4230.0,2024-08-22 09:21:50.271,2024-08-23 09:21:50.271,6.0,True,1.0,54.0
164,Philadelphia,Grocery,Beverages,534,8,4272.0,2024-09-15 09:21:50.271,2024-09-20 09:21:50.271,5.0,True,5.0,40.0
193,Philadelphia,Home Goods,Bed,462,6,2772.0,2024-09-19 09:21:50.271,2024-09-21 09:21:50.271,5.0,True,2.0,30.0
381,Los Angeles,Electronics,Phone,894,3,2682.0,2024-08-24 09:21:50.271,2024-08-25 09:21:50.271,8.0,False,1.0,24.0
988,Houston,Electronics,Tablet,900,2,1800.0,2024-08-31 09:21:50.271,2024-09-07 09:21:50.271,2.0,False,7.0,4.0
74,Chicago,Home Goods,Table,542,3,1626.0,2024-09-20 09:21:50.271,2024-09-26 09:21:50.271,2.0,False,6.0,6.0
880,Austin,Electronics,TV,472,9,4248.0,2024-09-09 09:21:50.271,2024-09-14 09:21:50.271,5.0,False,5.0,45.0
451,Houston,Home Goods,Kitchenware,788,9,7092.0,2024-08-26 09:21:50.271,2024-08-27 09:21:50.271,9.0,True,1.0,81.0
844,,Electronics,Phone,217,5,1085.0,2024-08-30 09:21:50.271,2024-09-01 09:21:50.271,6.0,False,2.0,30.0
351,San Antonio,Sports,Ball,940,4,3760.0,2024-08-23 09:21:50.271,2024-08-25 09:21:50.271,8.0,False,2.0,32.0
956,New York,Grocery,Household Supplies,380,10,3800.0,2024-09-09 09:21:50.271,2024-09-11 09:21:50.271,7.0,True,2.0,70.0
607,Austin,Beauty,Haircare,79,1,79.0,2024-08-27 09:21:50.271,2024-08-29 09:21:50.271,5.0,True,2.0,5.0
742,Dallas,Home Goods,Sofa,44,4,176.0,2024-09-04 09:21:50.271,2024-09-13 09:21:50.271,4.0,True,9.0,16.0
830,Philadelphia,Fashion,Shoes,260,9,2340.0,2024-08-25 09:21:50.271,2024-08-30 09:21:50.271,8.0,True,5.0,72.0
995,Los Angeles,Fashion,Accessory,879,5,4395.0,2024-08-25 09:21:50.271,2024-08-30 09:21:50.271,6.0,True,5.0,30.0
32,,Toys,Doll,902,7,6314.0,2024-09-11 09:21:50.271,2024-09-15 09:21:50.271,5.0,False,4.0,35.0
235,Philadelphia,Beauty,Perfume,479,10,4790.0,2024-08-24 09:21:50.271,2024-08-30 09:21:50.271,0.0,False,6.0,0.0
471,Los Angeles,Grocery,Food,741,4,2964.0,2024-08-24 09:21:50.271,2024-09-03 09:21:50.271,5.0,False,10.0,20.0
537,Houston,Fashion,Pants,12,10,120.0,2024-09-05 09:21:50.271,2024-09-06 09:21:50.271,5.0,True,1.0,50.0
837,New York,Grocery,Snacks,285,10,2850.0,2024-09-06 09:21:50.271,2024-09-14 09:21:50.271,5.0,False,8.0,50.0
900,San Diego,Toys,Doll,144,9,1296.0,2024-08-22 09:21:50.271,2024-08-26 09:21:50.271,5.0,False,,45.0
172,New York,Grocery,Household Supplies,912,10,9120.0,2024-08-22 09:21:50.271,2024-08-26 09:21:50.271,3.0,True,,30.0
